Site,Location,Criteria,Areaha (acre),Year_num,lat,lon,country,site_page_name,site_page_link
Aapravasi Ghat,"MauritiusPort Louis District, Mauritius20°09′31″S 57°30′11″E﻿ / ﻿20.158611°S 57.503056°E﻿ / -20.158611; 57.503056﻿ (Aapravasi Ghat)",Cultural:MauritiusAap(vi),7003160000000000000♠0.16 (0.40),2006,20.158611297607422,57.503055572509766,NA,/wiki/Aapravasi_Ghat,https://en.wikipedia.org/wiki/Aapravasi_Ghat
Abu Mena,"EgyAbusir, Egypt30°50′28″N 29°39′47″E﻿ / ﻿30.84098°N 29.663117°E﻿ / 30.84098; 29.663117﻿ (Abu Mena)",Cultural:EgyAbu(iv),7006182000000000000♠182 (450),2006,30.841110229492188,29.663055419921875,Egypt,/wiki/Abu_Mena,https://en.wikipedia.org/wiki/Abu_Mena
Aksum,"EthTigray Region, Ethiopia14°07′49″N 38°43′07″E﻿ / ﻿14.130190°N 38.718605°E﻿ / 14.130190; 38.718605﻿ (Aksum)","Cultural:EthAks(i), (iv)",—,2006,14.130277633666992,38.71861267089844,Ethiopia,/wiki/Aksum,https://en.wikipedia.org/wiki/Aksum
Al Qal'a of Beni Hammad,"AlgMaadid, Algeria35°49′06″N 4°47′13″E﻿ / ﻿35.818440°N 4.786840°E﻿ / 35.818440; 4.786840﻿ (Al Qal'a of Beni Hammad)",Cultural:AlgAlq(iii),7006150000000000000♠150 (370),2006,35.81833267211914,4.786944389343262,Algeria,NA,https://en.wikipedia.orgNA
Amphitheatre of El Jem,"TunEl Djem, Tunisia35°17′47″N 10°42′25″E﻿ / ﻿35.296390°N 10.706940°E﻿ / 35.296390; 10.706940﻿ (Amphitheatre of El Jem)","Cultural:TunEld(iv), (vi)",—,2006,35.296390533447266,10.706944465637207,Tunisia,/wiki/Amphitheatre_of_El_Jem,https://en.wikipedia.org/wiki/Amphitheatre_of_El_Jem
"Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata","MauritaniaChinguetti,Ouadane,Oualata,and Tichitt, Mauritania20°55′44″N 11°37′25″W﻿ / ﻿20.928890°N 11.623610°W﻿ / 20.928890; -11.623610﻿ (Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata)","Cultural:MauAnc(iii), (iv), (v)",—,2006,20.92888832092285,11.623611450195312,Mauritania,NA,https://en.wikipedia.orgNA
Ancient Thebes with its Necropolis,"EgyQena, Egypt25°44′00″N 32°36′00″E﻿ / ﻿25.733330°N 32.600000°E﻿ / 25.733330; 32.600000﻿ (Ancient Thebes with its Necropolis)","Cultural:EgyAnc(i), (iii), (vi)","7007739000000000000♠7,390 (18,300)",2006,25.733333587646484,32.599998474121094,Egypt,NA,https://en.wikipedia.orgNA
Archaeological Site of Carthage,"TunTunis, Tunisia36°51′10″N 10°19′24″E﻿ / ﻿36.852780°N 10.323330°E﻿ / 36.852780; 10.323330﻿ (Archaeological Site of Carthage)","Cultural:TunArc(ii), (iii), (vi)",—,2006,36.852779388427734,10.323333740234375,Tunisia,/wiki/Archaeological_Site_of_Carthage,https://en.wikipedia.org/wiki/Archaeological_Site_of_Carthage
Archaeological Site of Cyrene,"LibJebel Akhdar, Libya32°49′30″N 21°51′30″E﻿ / ﻿32.825000°N 21.858330°E﻿ / 32.825000; 21.858330﻿ (Archaeological Site of Cyrene)","Cultural:LibArc(ii), (iii), (vi)",—,2006,32.82500076293945,21.858333587646484,Libya,"/wiki/Cyrene,_Libya","https://en.wikipedia.org/wiki/Cyrene,_Libya"
Archaeological Site of Leptis Magna,"LibKhoms, Libya32°38′18″N 14°17′35″E﻿ / ﻿32.638330°N 14.293060°E﻿ / 32.638330; 14.293060﻿ (Archaeological Site of Leptis Magna)","Cultural:LibArc(i), (ii), (iii)",—,2006,32.63833236694336,14.293055534362793,Libya,/wiki/Leptis_Magna,https://en.wikipedia.org/wiki/Leptis_Magna
Archaeological Site of Sabratha,"LibSabratha, Libya32°48′19″N 12°29′06″E﻿ / ﻿32.805280°N 12.485000°E﻿ / 32.805280; 12.485000﻿ (Archaeological Site of Sabratha)",Cultural:LibArc(iii),—,2006,32.80527877807617,12.484999656677246,Libya,/wiki/Sabratha,https://en.wikipedia.org/wiki/Sabratha
Archaeological Site of Volubilis,"MorMeknes, Morocco34°04′26″N 5°33′25″W﻿ / ﻿34.073890°N 5.556940°W﻿ / 34.073890; -5.556940﻿ (Archaeological Site of Volubilis)","Cultural:MorArc(ii), (iii), (iv), (vi)",7005420000000000000♠42 (100),2006,34.073890686035156,5.556944370269775,Morocco,/wiki/Volubilis,https://en.wikipedia.org/wiki/Volubilis
